uid,timestamp,latitude,longitude,altitude,vertical_velocity,fix_quality,num_satellites,hdop,rssi
f49ae83e,221453.000,-37.5500245,175.2603148,22.729,0.0,2,28,0.52,-63
f49ae83e,221455.000,-37.5500246,175.260315,22.809,0.040000000000000924,2,28,0.52,-62
f49ae83e,221457.000,-37.5500248,175.2603152,22.926,0.058499999999998664,2,28,0.52,-61
f49ae83e,221459.000,-37.5500252,175.2603157,22.996,0.03500000000000014,2,28,0.52,-63
f49ae83e,221501.000,-37.5500252,175.2603157,23.112,0.05799999999999983,2,28,0.52,-67
f49ae83e,221503.000,-37.550025,175.2603159,23.207,0.04750000000000121,2,28,0.52,-72
f49ae83e,221505.000,-37.5500246,175.2603162,23.236,0.014499999999999957,2,28,0.52,-50
f49ae83e,221507.000,-37.5500243,175.2603163,23.258,0.010999999999999233,2,28,0.52,-69
f49ae83e,221509.000,-37.5500241,175.2603155,23.213,-0.022499999999999076,2,28,0.52,-58
f49ae83e,221511.000,-37.5500248,175.2603154,23.089,-0.062000000000001165,2,28,0.52,-49
f49ae83e,221513.000,-37.550026,175.2603151,23.0,-0.04449999999999932,2,28,0.52,-57
f49ae83e,221515.000,-37.5500261,175.2603159,22.988,-0.006000000000000227,2,28,0.52,-63
f49ae83e,221517.000,-37.5500263,175.2603161,23.013,0.012500000000001066,2,28,0.52,-63
f49ae83e,221519.000,-37.550027,175.2603161,23.024,0.005499999999999616,2,28,0.52,-60
f49ae83e,221521.000,-37.5500281,175.2603162,23.048,0.011999999999998678,2,28,0.52,-66
f49ae83e,221523.000,-37.5500263,175.2603133,23.276,0.11400000000000077,2,28,0.52,-56
f49ae83e,221525.000,-37.5500236,175.2603068,23.28,0.002000000000000668,2,28,0.52,-67
f49ae83e,221527.000,-37.5500226,175.260307,23.26,-0.009999999999999787,2,28,0.52,-61
f49ae83e,221529.000,-37.5500324,175.2603135,23.345,0.04249999999999865,2,28,0.52,-66
f49ae83e,221531.000,-37.5500302,175.2603116,23.427,0.04100000000000037,2,28,0.52,-94
f49ae83e,221533.000,-37.5500363,175.2603172,23.388,-0.019499999999998963,2,28,0.52,-71
f49ae83e,221535.000,-37.5500413,175.2602976,23.441,0.026499999999998636,2,28,0.52,-82
f49ae83e,221537.000,-37.5500373,175.2602595,23.481,0.02000000000000135,2,28,0.52,-75
f49ae83e,221539.000,-37.5500312,175.2602167,23.599,0.058999999999999275,2,29,0.51,-71
f49ae83e,221541.000,-37.5500243,175.2601734,23.693,0.0470000000000006,2,29,0.51,-68
f49ae83e,221543.000,-37.5500175,175.2601286,23.577,-0.05799999999999983,2,29,0.51,-74
f49ae83e,221545.000,-37.5500106,175.2600866,23.225,-0.17600000000000016,2,30,0.51,-72
f49ae83e,221547.000,-37.5500071,175.2600417,22.897,-0.16400000000000148,2,30,0.51,-78
f49ae83e,221549.000,-37.5499908,175.2599981,22.446,-0.22549999999999848,2,30,0.51,-90
f49ae83e,221551.000,-37.5499786,175.259954,22.013,-0.21649999999999991,2,30,0.51,-87
f49ae83e,221553.000,-37.5499734,175.2599093,21.837,-0.08800000000000097,2,30,0.51,-92
f49ae83e,221555.000,-37.5499709,175.2598692,22.033,0.09800000000000075,2,30,0.51,-88
f49ae83e,221557.000,-37.549969,175.2598346,22.253,0.10999999999999943,2,30,0.51,-88
f49ae83e,221559.000,-37.5499623,175.2597985,22.41,0.07850000000000001,2,30,0.51,-90
f49ae83e,221601.000,-37.5499631,175.2597575,22.601,0.09549999999999947,2,30,0.51,-95
f49ae83e,221603.000,-37.5499734,175.2597171,22.11,-0.24549999999999983,2,30,0.51,-91
f49ae83e,221605.000,-37.5499922,175.2596856,21.413,-0.3484999999999996,2,30,0.51,-95
f49ae83e,221607.000,-37.5500086,175.2596562,21.104,-0.15450000000000053,2,30,0.51,-93
f49ae83e,221609.000,-37.5500197,175.2596319,21.014,-0.04499999999999993,2,30,0.51,-90
f49ae83e,221611.000,-37.550017,175.2596279,20.921,-0.046499999999999986,2,30,0.51,-97
f49ae83e,221613.000,-37.5499971,175.2596176,20.842,-0.03950000000000031,2,30,0.51,-93
f49ae83e,221615.000,-37.5499722,175.2596002,20.953,0.05550000000000033,2,30,0.51,-100
f49ae83e,221617.000,-37.5499505,175.2595833,21.164,0.10550000000000104,2,30,0.51,-103
f49ae83e,221619.000,-37.5499405,175.259568,21.163,-0.0005000000000006111,2,30,0.51,-99
f49ae83e,221621.000,-37.549934,175.2595535,21.21,0.0235000000000003,2,30,0.51,-100
f49ae83e,221623.000,-37.5499355,175.2595498,21.185,-0.012500000000001066,2,30,0.51,-103
f49ae83e,221625.000,-37.5499372,175.2595503,21.066,-0.059499999999999886,2,29,0.51,-95
f49ae83e,221627.000,-37.5499374,175.2595522,21.019,-0.0235000000000003,2,29,0.51,-94
f49ae83e,221629.000,-37.5499376,175.2595538,20.89,-0.06449999999999889,2,29,0.51,-92
f49ae83e,221631.000,-37.549937,175.2595553,20.886,-0.002000000000000668,2,28,0.52,-93
